Name,Email,Category,Level,Enrollment Date,Total Fees Paid (INR),Outstanding Dues (INR),Avg Attendance (Last 60 Days),Overall Performance Score,Kits Requested
SNK Student,snk@aot.com,UNKNOWN,advanced,2026-01-18,7500,2000,92%,79,1
Arjun Sharma,arjun.u12@gwdcricket.com,U12,beginner,2026-03-12,5000,2500,82%,52,5
Rahul Patel,rahul.u12@gwdcricket.com,U12,beginner,2025-12-04,15000,0,76%,55,3
Dev Nair,dev.u12@gwdcricket.com,U12,beginner,2025-10-18,15000,0,80%,59,5
Sai Krishna,sai.u12@gwdcricket.com,U12,beginner,2026-01-05,12500,0,82%,49,3
Karthik Reddy,karthik.u12@gwdcricket.com,U12,beginner,2026-03-12,7500,0,90%,49,4
Aarav Singh,aarav.u12@gwdcricket.com,U12,beginner,2025-08-31,15000,0,67%,57,5
Vivaan Gupta,vivaan.u12@gwdcricket.com,U12,beginner,2025-12-17,15000,0,88%,55,3
Dhruv Mehta,dhruv.u12@gwdcricket.com,U12,beginner,2025-12-31,10000,2500,82%,53,5
Ansh Yadav,ansh.u12@gwdcricket.com,U12,beginner,2025-07-22,15000,0,69%,51,4
Rohan Joshi,rohan.u12@gwdcricket.com,U12,beginner,2026-02-23,7500,0,78%,55,5
Prithvi Kumar,prithvi.u14@gwdcricket.com,U14,beginner,2025-11-29,12500,2500,80%,71,4
Yash Dubey,yash.u14@gwdcricket.com,U14,beginner,2025-09-15,15000,0,76%,62,3
Manish Tiwari,manish.u14@gwdcricket.com,U14,beginner,2025-08-26,15000,0,84%,69,2
Aditya Verma,aditya.u14@gwdcricket.com,U14,beginner,2025-10-01,15000,0,82%,62,4
Nikhil Rao,nikhil.u14@gwdcricket.com,U14,beginner,2025-12-23,12500,0,82%,52,5
Ishaan Chauhan,ishaan.u14@gwdcricket.com,U14,beginner,2026-02-10,7500,2500,84%,62,5
Rishi Malhotra,rishi.u14@gwdcricket.com,U14,beginner,2025-09-16,15000,0,86%,64,5
Kabir Bose,kabir.u14@gwdcricket.com,U14,beginner,2025-09-24,15000,0,88%,64,5
Omkar Desai,omkar.u14@gwdcricket.com,U14,beginner,2025-10-10,15000,0,84%,65,3
Arnav Pillai,arnav.u14@gwdcricket.com,U14,beginner,2026-04-09,5000,0,76%,62,4
Shreyas Iyer,shreyas.u16@gwdcricket.com,U16,intermediate,2026-01-01,12500,0,98%,64,5
Akash Pandey,akash.u16@gwdcricket.com,U16,intermediate,2025-12-29,12500,0,82%,63,4
Varun Sinha,varun.u16@gwdcricket.com,U16,intermediate,2026-03-23,5000,0,82%,73,4
Gaurav Mishra,gaurav.u16@gwdcricket.com,U16,intermediate,2025-11-18,15000,0,82%,73,2
Sourav Das,sourav.u16@gwdcricket.com,U16,intermediate,2025-08-03,15000,0,86%,70,4
Tarun Agarwal,tarun.u16@gwdcricket.com,U16,intermediate,2026-04-09,5000,0,82%,66,2
Kunal Jain,kunal.u16@gwdcricket.com,U16,intermediate,2025-11-09,15000,0,84%,70,3
Pranav Nanda,pranav.u16@gwdcricket.com,U16,intermediate,2025-12-04,12500,2500,88%,73,3
Ayush Tripathi,ayush.u16@gwdcricket.com,U16,intermediate,2026-02-08,10000,0,82%,70,3
Sidharth Ghosh,sidharth.u16@gwdcricket.com,U16,intermediate,2026-04-13,5000,0,86%,73,4
Ajinkya More,ajinkya.u19@gwdcricket.com,U19,advanced,2025-11-26,15000,0,80%,83,5
Rohit Sharma,rohit.u19@gwdcricket.com,U19,advanced,2026-04-13,5000,0,78%,74,5
Virat Singh,virat.u19@gwdcricket.com,U19,advanced,2026-03-23,2500,2500,76%,76,5
Hardik Patil,hardik.u19@gwdcricket.com,U19,advanced,2025-12-13,15000,0,90%,84,5
Dinesh Karthik,dinesh.u19@gwdcricket.com,U19,advanced,2026-02-07,10000,0,82%,81,2
Shubman Gill,shubman.u19@gwdcricket.com,U19,advanced,2026-02-28,5000,2500,84%,72,5
Ruturaj More,ruturaj.u19@gwdcricket.com,U19,advanced,2025-11-07,15000,0,88%,80,4
Devdutt Pillai,devdutt.u19@gwdcricket.com,U19,advanced,2026-03-24,5000,0,73%,78,5
Yashasvi Mehta,yashasvi.u19@gwdcricket.com,U19,advanced,2026-03-16,7500,0,94%,75,4
Tilak Varma,tilak.u19@gwdcricket.com,U19,advanced,2026-04-01,5000,0,92%,79,2
Sanju Nair,sanju.u23@gwdcricket.com,U23,advanced,2025-12-18,15000,0,88%,88,4
KL Reddy,kl.u23@gwdcricket.com,U23,advanced,2025-08-08,15000,0,90%,84,5
Suryakumar Das,suryakumar.u23@gwdcricket.com,U23,advanced,2025-08-30,15000,0,88%,83,4
Ishan Patel,ishan.u23@gwdcricket.com,U23,advanced,2026-03-18,7500,0,90%,84,3
Washington Sundar,washington.u23@gwdcricket.com,U23,advanced,2025-11-14,15000,0,92%,86,4
Axar Desai,axar.u23@gwdcricket.com,U23,advanced,2025-11-04,15000,0,92%,83,5
Shardul Kumar,shardul.u23@gwdcricket.com,U23,advanced,2026-04-10,5000,0,75%,83,2
Deepak Rao,deepak.u23@gwdcricket.com,U23,advanced,2026-01-21,7500,2500,86%,85,2
Bhuvneshwar Gupta,bhuvneshwar.u23@gwdcricket.com,U23,advanced,2025-07-31,15000,0,94%,81,3
Mohammed Joshi,mohammed.u23@gwdcricket.com,U23,advanced,2025-10-12,15000,0,88%,82,5
